Minas Gerais | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abadia dos Dourados,3100104,abadiense,WANDERLEI LEMES SANTOS,880.461,6272,7.12,98.3,0.689,16.39,21894.89576,18793.52389,21962.98,
Abaet&eacute;,3100203,abaetense,IVANIR DELADIER DA COSTA,1817.067,22675,12.48,99.8,0.698,24.1,45220.32463,40774.21946,23905.96,
Abre Campo,3100302,abre-campense,VITOR HENRIQUE MOREIRA FERREIRA DE OLIVEIRA,470.551,13927,29.60,97.4,0.654,-,32100.1209,29577.56666,16849.29,
Acaiaca,3100401,acaiaquense,LUIZ CARLOS FAUSTINO,101.886,3909,38.37,96,0.630,-,14072.55633,12445.28291,14536.04,
A&ccedil;ucena,3100500,a&ccedil;ucenense,RAULISSON MORAIS,815.422,8943,10.97,96.7,0.610,10.64,19477.67359,19513.35699,14790.41,
&Aacute;gua Boa,3100609,&aacute;gua-boense,ORLANDO CARDOSO PEREIRA,1320.344,12589,9.53,92.9,0.576,29.41,29538.64432,27745.67559,12792.84,
&Aacute;gua Comprida,3100708,&aacute;gua-compridense,ALEXANDRE DE ALMEIDA SILVA,492.167,2108,4.28,95.2,0.675,-,18442.25605,16122.10615,80179.75,
Aguanil,3100807,aguanilense,JOSE MARCIO DE OLIVEIRA,232.091,4357,18.77,97.4,0.663,-,15931.8311,14013.41004,15825.97,
&Aacute;guas Formosas,3100906,&aacute;guas-formosense,CARLOS SOUZA,820.079,18450,22.50,96.6,0.645,7.75,45324.03903,40811.21189,13197.50,
&Aacute;guas Vermelhas,3101003,&aacute;guas-vermelhense,NILSON FRANCISCO CAMPOS,1256.607,14037,11.17,93.3,0.601,12.58,27494.40686,25905.67987,15777.06,
Aimor&eacute;s,3101102,aimorense,MARCELO MARQUES,1348.913,25269,18.73,96.5,0.684,3.02,63055.28218,56293.50681,22980.65,
Aiuruoca,3101201,aiuruocano,ERLISSON VITOR LOPES,649.680,6233,9.59,99.3,0.668,39.22,17722.73165,15580.4714,18907.82,
Alagoa,3101300,alagoense,JULIANO DINIZ DE OLIVEIRA,161.356,2749,17.04,99,0.649,-,15332.40286,13926.43236,17278.61,
Albertina,3101409,albertinense,JO&Atilde;O PAULO FACANALI DE OLIVEIRA,58.010,2945,50.77,98.4,0.673,-,15060.64494,11821.97218,35219.86,
Al&eacute;m Para&iacute;ba,3101508,al&eacute;m-paraibano,MIGUEL BELMIRO DE SOUZA JUNIOR,510.250,30717,60.20,97.6,0.726,16.57,84079.72686,69396.6373,25413.78,
Alfenas,3101607,alfenense,LUIZ ANTONIO DA SILVA,850.446,78970,92.86,97.8,0.761,8.08,266276.67933,242021.97518,33843.71,
Alfredo Vasconcelos,3101631,vasconcelense,MAURO CESAR DE OLIVEIRA,130.815,6931,52.98,98,0.675,11.11,16476.30987,15425.85726,16846.93,
Almenara,3101706,almenarense,ADEMIR COSTA GOBIRA,2294.426,40364,17.59,97.8,0.642,9.24,76557.45077,75200.48388,15014.42,
Alpercata,3101805,alpercatense,RAFAEL AUGUSTO FRANCA OLIVEIRA MACHADO,166.972,6903,41.34,99.1,0.646,10.64,19160.77414,17768.52119,11761.69,
Alpin&oacute;polis,3101904,alpinopolense,RAFAEL HENRIQUE DA SILVA FREIRE,460.685,18300,39.72,97,0.725,13.33,41935.67362,39224.14842,22563.39,
Alterosa,3102001,alterosense,MARCELO NUNES DE SOUZA,362.010,13915,38.44,97.7,0.668,-,32839.82289,29250.61564,16697.58,
Alto Capara&oacute;,3102050,alto caparoense,JOS&Eacute; JACOMEL J&Uacute;NIOR,103.690,5795,55.89,98.5,0.661,12.99,17462.33578,13322.27155,14345.03,
Alto Rio Doce,3102100,alto-rio-docense,VICTOR DE PAIVA LOPES,518.053,10891,21.02,95.9,0.620,20.62,23033.23624,22048.62641,16495.73,
Alvarenga,3102209,alvarenguense,DIOC&Eacute;LIO FERNANDO RIBEIRO,278.175,3973,14.28,96.9,0.592,35.71,15037.93322,13608.94818,12676.05,
Alvin&oacute;polis,3102308,alvinopolense,MAUROSAN GON&Ccedil;ALVES MACHADO,599.443,15059,25.12,97.3,0.676,13.42,35767.76561,30473.15103,22118.38,
Alvorada de Minas,3102407,alvoradense,VALTER ANTONIO COSTA,374.008,4159,11.12,94.6,0.572,32.26,22464.8569,18633.31791,16937.26,
Amparo do Serra,3102506,serrense,JOS&Eacute; EDUARDO BARBOSA COUTO,136.186,4541,33.34,98.6,0.641,20.83,14841.41913,13407.00528,10829.79,
Andradas,3102605,andradense,MARGOT NAVARRO GRAZIANI PIOLI,469.396,40548,86.38,96.7,0.734,6.34,96841.77636,81976.5091,24564.51,
Cachoeira de Paje&uacute;,3102704,cachoeirense,GERALDO DUARTE DE SOUSA,695.672,9110,13.10,97.3,0.578,-,21171.47983,19712.58058,12872.10,
Andrel&acirc;ndia,3102803,andrelandense,FRANCISCO CARLOS RIVELLI,1005.285,11927,11.86,98.2,0.700,17.39,29701.32649,26177.48661,20418.04,
Angel&acirc;ndia,3102852,angelandense,JO&Atilde;O PAULO BATISTA DE SOUZA,185.211,7718,41.67,98.3,0.597,9.52,20470.82228,19137.1073,13531.54,
Ant&ocirc;nio Carlos,3102902,ant&ocirc;nio-carlense,GERALDO PAULI,529.915,11095,20.94,98,0.683,8.77,23432.63671,21577.97754,17162.33,
Ant&ocirc;nio Dias,3103009,ant&ocirc;nio-diense,BENEDITO DE ASSIS LIMA,787.061,9219,11.71,98.2,0.645,26.32,30181.49052,25519.47049,42370.18,
Ant&ocirc;nio Prado de Minas,3103108,pradense-de-minas,WELISON SIMA  DA FONSECA,83.802,1538,18.35,99.1,0.684,-,11861.10736,10746.01602,16753.38,
Ara&ccedil;a&iacute;,3103207,ara&ccedil;aiense,MARCIO GONZAGA DIAS DE OLIVEIRA,187.538,2181,11.63,98.9,0.695,-,13817.27194,11944.60722,24321.01,
Aracitaba,3103306,aracitabense,TEREZINHA MARC&Iacute;LIA DO AMARAL TOLEDO,106.608,2049,19.22,97,0.661,-,12261.78094,10169.69908,13382.42,
Ara&ccedil;ua&iacute;,3103405,ara&ccedil;uaiense,TADEU BARBOSA DE OLIVEIRA,2236.279,34297,15.34,97.5,0.663,12.53,62203.52899,56562.95885,13441.04,
Araguari,3103504,araguarino,RENATO CARVALHO FERNANDES,2729.777,117808,43.16,97.8,0.773,12.78,353296.17541,321111.49012,50308.19,
Arantina,3103603,arantinense,EDIMAR LUIS DE OLIVEIRA,89.420,2915,32.60,98.6,0.697,-,13809.79363,11723.55009,24497.97,
Araponga,3103702,araponguense,LUIZ HENRIQUE MACEDO TEIXEIRA,303.793,8048,26.49,95,0.536,9.71,21393.63143,17635.23941,11376.31,
Arapor&atilde;,3103751,araporense,RENATA CRISTINA SILVA BORGES,294.354,8479,28.81,99.3,0.708,15.63,73711.16208,56380.33228,210970.72,
Arapu&aacute;,3103801,arapuaense,JOAO BATISTA TERTO DA CUNHA,173.894,2631,15.13,98.3,0.724,-,14612.27368,12052.13723,56790.19,
Ara&uacute;jos,3103900,araujense,GERALDO MAGELA DA SILVA,245.522,9199,37.47,95.6,0.698,9.71,22175.60343,18825.2522,39780.96,
Arax&aacute;,3104007,araxaense,RUBENS MAGELA DA SILVA,1164.062,111691,95.95,97.1,0.772,9.4,398698.25624,331538.24895,56776.64,
Arceburgo,3104106,arceburguense,GILSON PEREIRA DE MELLO,162.875,9177,56.34,98.7,0.683,-,33783.75198,28357.42739,29424.62,
Arcos,3104205,arcoense,CLAUDENIR JOS&Eacute; DE MELO,509.873,41417,81.23,98.4,0.749,8.05,106985.03099,95564.9004,37766.76,
Areado,3104304,areadense,DOUGLAS &Aacute;VILA MOREIRA,283.124,13881,49.03,98.2,0.727,6.8,31213.74703,29227.35876,16636.21,
Argirita,3104403,argiritense,ALEX ANDRADE ANZOLIN,159.378,2688,16.87,96.4,0.643,-,13895.35026,12923.54467,13579.76,
Aricanduva,3104452,aricanduvense ou aricanduvano,VALDEIR SANTOS COIMBRA,243.329,4719,19.39,98.1,0.582,57.14,15260.28627,14383.05586,11511.89,
Arinos,3104502,arinense,MARC&Iacute;LIO &Aacute;LISSON FONSECA DE ALMEIDA,5279.419,17272,3.27,96.6,0.656,-,40084.15402,37210.05573,15691.27,
Astolfo Dutra,3104601,astolfo-dutrense,BRUNO RIBEIRO,158.891,14138,88.98,98.6,0.694,15.75,32961.21133,28837.08248,19103.71,
Atal&eacute;ia,3104700,ataleiense,GILSON BOTELHO BASTOS,1836.925,13736,7.48,96.7,0.588,17.24,28052.08998,25235.83958,14578.14,
Augusto de Lima,3104809,augusto-limense,FABIANO HENRIQUE DOS PASSOS,1254.832,4538,3.62,99,0.656,-,16552.79648,15411.37557,13756.26,
Baependi,3104908,baependiano,DOUGLAS STADUTO SOUZA,750.554,18366,24.47,96,0.681,14.78,48166.06752,39368.11332,16944.94,
Baldim,3105004,baldinense,FABRICIO ANDRADE MAGALH&Atilde;ES,556.266,7492,13.47,96.5,0.671,15.63,19147.93219,16899.99704,20885.71,
Bambu&iacute;,3105103,bambuiense,OLIVIO JOS&Eacute; TEIXEIRA,1455.819,23546,16.17,98.6,0.741,11.54,59213.90451,53262.85261,27101.66,
Bandeira,3105202,bandeirense,SIDNEI ALVES DOS SANTOS,483.789,4741,9.80,98.7,0.599,-,16995.14495,16984.31734,10773.29,
Bandeira do Sul,3105301,bandeirante-do-sul,EDERVAN LEANDRO DE FREITAS,47.266,5943,125.74,96.7,0.692,13.33,16737.33493,14039.00812,13691.54,
Bar&atilde;o de Cocais,3105400,cocaiense,D&Eacute;CIO GERALDO DOS SANTOS,340.140,30778,90.49,98.9,0.722,11.4,84239.86062,81617.23564,33262.00,
Bar&atilde;o de Monte Alto,3105509,monte-altense,F&Aacute;BIO SOARES GUIMAR&Atilde;ES,198.313,4964,25.03,100,0.649,27.03,18151.29099,18413.02448,10686.40,
Barbacena,3105608,barbacenense,CARLOS AUGUSTO SOARES DO NASCIMENTO,759.186,125317,165.07,98.4,0.769,8.53,344024.75121,320991.76424,22976.86,
Barra Longa,3105707,barra-longuense,FERNANDO JOS&Eacute; CARNEIRO MAGALH&Atilde;ES,383.628,5666,14.77,97.6,0.624,-,19109.24914,16229.08473,14322.27,
Barroso,3105905,barrosense,ANDERSON GERALDO DE PAULA,82.070,20080,244.67,99.2,0.734,14.02,44350.61762,38477.87742,23555.61,
Bela Vista de Minas,3106002,bela-vistano,SAMANTHA APARECIDA DE &Aacute;VILA COSTA MAGALH&Atilde;ES,109.143,10167,93.15,100,0.674,20.41,32314.60744,29417.77429,31152.83,
Belmiro Braga,3106101,belmirense,JOS&Eacute; PAULO DE OLIVEIRA FRANCO,393.086,3244,8.25,99.2,0.660,74.07,18231.88896,13267.78904,17009.27,
Belo Horizonte,3106200,belo-horizontino,ALEXANDRE KALIL,331.354,2315560,6988.18,97.6,0.810,9.28,10145985.448,10036417.54367,38670.40,
Belo Oriente,3106309,belo-orientino,HAMILTON ROMULO DE MENEZES CARVALHO,334.909,23928,71.45,98.9,0.686,23.41,90708.86291,77910.57918,69522.13,
Belo Vale,3106408,belo-valense,WALTENIR LIBERATO SOARES,365.923,8627,23.58,97.1,0.655,-,45642.25353,39123.19355,27060.74,
Berilo,3106507,berilense,ELANE LUIZ ALVES,587.106,9826,16.74,98.9,0.628,-,23051.72672,21807.16464,8941.69,
Bert&oacute;polis,3106606,bertopolitano,ARISTIDES ANGELO ROSSI DEPOLO,427.803,4451,10.40,83.9,0.594,40.54,14879.40294,14494.19707,9959.38,
Berizal,3106655,berizalense,JO&Atilde;O CARLOS LUCAS LOPES,488.756,4201,8.60,97.8,0.604,17.86,14755.46765,13463.60767,11399.58,
Betim,3106705,betinense,VITTORIO MEDIOLI,344.062,411859,1197.05,98,0.749,10.53,1775733.38546,1363402.08923,58871.28,
Bias Fortes,3106804,bias-fortense,FABR&Iacute;CIO JOS&Eacute; DA FONSECA ALMEIDA,283.535,3361,11.85,97.8,0.620,26.32,12932.27311,9822.12826,11029.45,
Bicas,3106903,biquense,HELBER MARQUES CORR&Ecirc;A,140.082,13978,99.78,98.9,0.744,-,32650.62989,29217.42232,18972.16,
Biquinhas,3107000,biquinhense,ARISLEU FERREIRA PIRES,458.948,2383,5.19,99.1,0.688,-,14906.28149,14725.13256,20867.47,
Boa Esperan&ccedil;a,3107109,esperancense,HIDERALDO HENRIQUE SILVA,860.669,39848,46.30,96.9,0.704,9.73,108963.21953,100790.09633,23022.21,
Bocaina de Minas,3107208,bocainense,LUZIMAR DE MOURA BENFICA,503.770,5348,10.62,96.4,0.645,28.57,14953.50879,12953.5803,13592.61,
Bocai&uacute;va,3107307,bocaiuvense,ROBERTO JAIRO TORRES,3206.757,48032,14.98,97.8,0.700,4.84,101426.83053,92541.63204,20915.84,
Bom Despacho,3107406,bom-despachense,BERTOLINO DA COSTA NETO,1213.546,51737,42.63,98.3,0.750,14.29,131328.81743,119411.10166,28324.99,
Bom Jardim de Minas,3107505,bom-jardinense,JOAQUIM LA&Eacute;RCIO RODRIGUES,412.021,6783,16.46,98.8,0.673,-,18751.21875,17171.66555,18572.09,
Bom Jesus da Penha,3107604,bom-jesuense,NEI ANDR&Eacute; FREIRE,208.349,4474,21.47,98.7,0.735,-,20770.49565,16756.93563,37481.11,
Bom Jesus do Amparo,3107703,bom-jesuense,PEDRO DOS SANTOS MOREIRA,195.611,5631,28.79,97.5,0.683,-,18793.02378,20170.20908,23378.76,
Bom Jesus do Galho,3107802,bom-jesuense,ANIBAL BORGES,592.289,14537,24.54,97.2,0.623,18.52,28534.17908,24099.37345,10898.87,
Bom Repouso,3107901,bom-repousense,EDMILSON ANDRADE,229.845,12649,55.03,95.1,0.653,-,26531.84317,23613.50095,13699.84,
Bom Sucesso,3108008,bom-sucessense,PORF&Iacute;RIO ROBERTO DA SILVA,705.046,17151,24.33,97.9,0.692,20.55,47142.74645,39912.68388,21414.00,
Bonfim,3108107,bonfinense,GUSTAVO MARQUES RIBEIRO,301.865,7434,24.63,98.5,0.637,-,19095.8715,19887.69415,16278.88,
Bonfin&oacute;polis de Minas,3108206,bonfinopolitano,MANOEL DA COSTA LIMA,1850.487,5528,2.99,97.7,0.678,16.67,23966.45551,20567.00615,50785.65,
Bonito de Minas,3108255,bonitense,VANIA CARNEIRO DE CARVALHO,3936.455,10204,2.59,93,0.537,25.86,27769.795,25677.39103,8001.93,
Borda da Mata,3108305,borda-matense,AFONSO RAIMUNDO DE SOUZA,301.108,17404,57.80,96.8,0.730,13.61,40717.49628,36534.47766,17404.31,
Botelhos,3108404,botelhense,EDUARDO JOSE ALVES DE OLIVEIRA,334.089,14828,44.38,96.7,0.702,14.71,31837.18283,25178.78022,18275.11,
Botumirim,3108503,botumiriense,ANA PEREIRA NETA,1568.884,5790,3.69,96.5,0.602,16.13,15928.06577,14698.46347,9638.98,
Brasil&acirc;ndia de Minas,3108552,brasilandense,OSEIAS CARDOSO QUEIROZ,2509.694,15020,5.98,97.5,0.674,12.71,32490.59713,27703.08892,23051.81,
Bras&iacute;lia de Minas,3108602,brasilminense,MARCUS VINICIUS FERREIRA CARVALHO,1399.484,32025,22.88,96.8,0.656,18,83595.88232,77024.27104,11029.18,
Br&aacute;s Pires,3108701,br&aacute;s-pirense,DOMINGOS RIVELLI TEIXEIRA NOGUEIRA,223.351,4260,19.07,97.4,0.625,32.26,14143.71678,13020.09058,10442.36,
Bra&uacute;nas,3108800,braunense,JOVANI DUARTE MENEZES,378.318,4441,11.74,98.3,0.624,-,17853.34942,14818.36598,42615.85,
Braz&oacute;polis,3108909,brazopolense,CARLOS ALBERTO MORAIS,367.688,14246,38.74,98.4,0.692,13.16,32492.53198,26518.58354,12824.27,
Brumadinho,3109006,brumadinhense,AVIMAR DE MELO BARCELOS,639.434,38915,60.86,98.4,0.747,13.67,175543.55034,165401.05391,57064.24,
Bueno Brand&atilde;o,3109105,bueno-brandense,SILVIO ANTONIO FELIX,356.150,10911,30.64,98,0.658,-,25003.86623,21990.03879,16573.45,
Buen&oacute;polis,3109204,buenopolense,CELIO SANTANA,1599.881,9150,5.72,95.1,0.669,18.87,25297.72766,22171.29429,12763.90,
Bugre,3109253,bugrense,MARC&Eacute;LIO TEIXEIRA DA COSTA,161.491,4041,25.02,98.4,0.627,37.04,15550.85763,15180.2174,10571.82,
Buritis,3109303,buritisense,KENY SOARES RODRIGUES,5225.186,24034,4.60,97.8,0.672,10.64,77830.36554,75333.76215,38041.06,
Buritizeiro,3109402,buritizeirense,PEDRO HENRIQUE SOARES BRAGA,7218.401,23910,3.31,96.8,0.624,19.11,54705.83522,46533.60484,21029.28,
Cabeceira Grande,3109451,cabeceirense,ELDSON AMORIM DUARTE,1033.055,6627,6.41,98.2,0.648,60.61,31573.47651,25348.42775,55628.40,
Cabo Verde,3109501,cabo-verdense,CL&Aacute;UDIO ANT&Ocirc;NIO PALMA,368.206,11410,30.99,94.6,0.674,-,30423.45632,27638.27267,18243.59,
Cachoeira da Prata,3109600,cachoeirense,CLECIO GONCALVES DA SILVA,61.381,3693,60.17,98.1,0.741,35.71,15260.12111,12455.95178,13669.94,
Cachoeira de Minas,3109709,cachoeirense,DIRCEU D&amp;apos;ANGELO DE FARIA,304.243,11884,39.06,97.7,0.706,15.15,27332.09976,25258.29153,33682.40,
Cachoeira Dourada,3109808,cachoeirense,ALEANDRO FRANCISCO DA SILVA,203.070,2315,11.40,98.3,0.726,-,32064.45933,26409.2267,38193.51,
Caetan&oacute;polis,3109907,caetanopolitano,JO&Atilde;O PROC&Oacute;PIO DE ALMEIDA FILHO,156.039,11435,73.28,98.1,0.706,16.13,24011.81279,22188.81907,22894.35,
Caet&eacute;,3110004,caeteense,LUCAS COELHO FERREIRA,542.531,38776,71.47,96.9,0.728,8.75,88074.27799,83429.38142,20233.61,
Caiana,3110103,caianense,MAURICIO PINHEIRO FERREIRA,106.465,5304,49.82,97,0.633,-,17273.88379,17172.80818,20435.49,
Cajuri,3110202,cajuriense,RICARDO AUGUSTO DIAS DE ANDRADE,83.038,4088,49.23,97.1,0.617,16.95,15583.75794,14325.80774,23518.73,
Caldas,3110301,caldense,AILTON PEREIRA GOULART,711.414,14217,19.98,98.4,0.687,36.36,33797.48434,32627.00405,18427.97,
Camacho,3110400,camachense,BRUNO LAMOUNIER FURTADO,223.001,2838,12.73,98.8,0.690,35.71,13328.42335,12071.1564,16915.13,
Camanducaia,3110509,camanducaiense,RODRIGO ALVES DE OLIVEIRA,528.688,26097,49.36,98.2,0.689,3.72,58377.91068,52465.95055,34392.09,
Cambu&iacute;,3110608,cambuiense,TALES TADEU TAVARES,244.567,29536,120.77,98.6,0.751,-,84181.68774,66650.737,61061.97,
Cambuquira,3110707,cambuquirense,FABRICIO DOS SANTOS SIMONI,246.380,12313,49.98,98.2,0.699,14.08,27728.78481,24968.62606,25379.18,
Campan&aacute;rio,3110806,campanarense,LUIZ ANTONIO DE SOUSA CAMPOS,442.398,2923,6.61,98.5,0.616,-,15242.07155,13357.77389,13060.69,
Campanha,3110905,campanhense,L&Aacute;ZARO ROBERTO DA SILVA,335.587,15935,47.48,97,0.709,22.99,43253.4654,35415.06784,22573.66,
Campestre,3111002,campestrense,NIVALDO DONIZETE MUNIZ,577.843,20696,35.82,97.7,0.698,4.72,42844.50412,39264.40824,19791.76,
Campina Verde,3111101,campina-verdense,HELDER PAULO CARNEIRO,3650.749,18011,4.93,89.2,0.704,6.25,51116.62883,42240.14458,23504.63,
Campo Azul,3111150,campoazulense,OSEAS ALMEIDA J&Uacute;NIOR,505.914,3714,7.34,98.1,0.621,-,14339.79347,14115.8334,10126.04,
Campo Belo,3111200,campo-belense,ALISSON DE ASSIS CARVALHO,528.225,52277,98.97,98.4,0.711,7.01,127823.4759,121659.27759,20640.44,
Campo do Meio,3111309,campo-meense,SAMUEL AZEVEDO MARINHO,275.426,11377,41.31,97.9,0.683,-,30132.35762,25811.40522,15701.46,
Campo Florido,3111408,campo-floridense,RENATO SOARES DE FREITAS,1264.245,8466,6.70,98.8,0.706,-,38168.12954,32279.92529,79067.52,
Campos Altos,3111507,campos-altense,PAULO CEZAR DE ALMEIDA,710.645,12979,18.26,97.6,0.702,11.83,45047.30487,37057.44078,23876.00,
Campos Gerais,3111606,campos-geraiense,MIRO LUCIO PEREIRA,769.504,26105,33.92,97.7,0.682,19.74,61389.90417,54679.8844,22014.41,
Cana&atilde;,3111705,cana&atilde;ense,JOS&Eacute; IVANIR MIRANDA DUARTE,174.900,4715,26.96,98.2,0.649,-,14893.85765,14409.64928,15681.05,
Can&aacute;polis,3111804,canapolino / canapolense,ENIVANDER ALVES DE MORAIS,843.599,10608,12.57,99,0.722,8.06,33342.23606,30395.28287,45526.66,
Cana Verde,3111903,cana-verdense,AENDER ANASTACIO DE MORAIS,212.721,5272,24.78,99.6,0.650,-,15367.66274,13376.84756,12622.75,
Candeias,3112000,candeense,RODRIGO MORAES LAMOUNIER,720.512,14001,19.43,98.3,0.678,6.67,37734.80967,33924.34849,20129.00,
Cantagalo,3112059,cantagalense,ROBERTO DE OLIVEIRA QUEIROZ COSTA,141.855,3974,28.01,95.1,0.631,-,15748.35553,14487.16485,11102.88,
Capara&oacute;,3112109,caparaoense,DI&Oacute;GENIS DA SILVA MIRANDA,130.694,5048,38.62,94.1,0.624,12.35,16666.96598,15439.1566,16602.82,
Capela Nova,3112208,capela-novense,ADELMO DE REZENDE MOREIRA,111.073,4362,39.27,95,0.648,-,13567.64162,12695.55317,12214.38,
Capelinha,3112307,capelinhense,TADEU FILIPE FERNANDES DE ABREU,965.292,39624,41.05,97.3,0.653,8.76,68873.77075,63452.98172,19336.20,
Capetinga,3112406,capetinguense,LUIZ C&Eacute;SAR GUILHERME,297.937,6562,22.02,96.3,0.675,-,18302.66154,16146.94489,23544.44,
Capim Branco,3112505,capim-branquense,ELVIS PRESLEY MOREIRA GON&Ccedil;ALVES,95.333,10663,111.85,99.3,0.695,30.61,20622.25359,18530.91273,9903.79,
Capin&oacute;polis,3112604,capinopolino,CLEIDIMAR ZANOTTO,620.716,14655,23.61,99.6,0.723,25.32,48671.49021,44201.39257,31609.18,
Capit&atilde;o Andrade,3112653,capit&atilde;o andradense,AROLDO MIRANDA DA SILVA,279.088,4585,16.43,99.3,0.624,-,16201.37965,15562.97927,10068.56,
Capit&atilde;o En&eacute;as,3112703,capit&atilde;o-eneense ou eneapolitano,REINALDO LANDULFO TEIXEIRA,971.576,14108,14.52,96.9,0.639,9.35,54216.513,31664.13719,23564.85,
Capit&oacute;lio,3112802,capitolino,CRISTIANO GERALDO DA SILVA,521.802,10380,19.89,99,0.710,15.63,34131.98474,30556.97551,33046.19,
Caputira,3112901,caputirense,CELSO GONCALVES ANTUNES,187.704,8936,47.61,96.4,0.615,-,17700.78134,16580.574,11560.05,
Cara&iacute;,3113008,caraiense,HEBER GOMES NEIVA,1242.345,19548,15.73,96.2,0.558,25.21,40352.96771,37225.76242,8149.93,
Carana&iacute;ba,3113107,caranaibense,F&Aacute;BIO HENRIQUES DUTRA,159.950,2933,18.34,97.9,0.634,-,14871.47023,13425.19517,11619.52,
Caranda&iacute;,3113206,carandaiense,WASHINGTON LUIS GRAVINA TEIXEIRA,487.280,23812,48.87,98.8,0.697,13.79,63469.2074,56593.85522,26776.19,
Carangola,3113305,carangolense,SILAS VIEIRA,353.404,31240,88.40,96.9,0.695,-,77705.21627,69505.34885,17880.37,
Caratinga,3113404,caratinguense,WELINGTON MOREIRA DE OLIVEIRA,1258.479,87360,69.42,95.4,0.706,15.32,167343.56203,156263.63469,21758.52,
Carbonita,3113503,carbonitense,NIVALDO MORAES SANTANA,1456.095,8512,5.85,99.4,0.638,-,24013.72695,20857.04579,20461.19,
Carea&ccedil;u,3113602,carea&ccedil;uense,TOVAR DOS SANTOS BARROSO,181.009,6816,37.66,98,0.683,33.33,18981.64211,14322.55653,21978.05,
Carlos Chagas,3113701,carlos-chaguense,JOSE AMADEU NANAYOSKI TAVARES,3202.984,18615,5.81,97.6,0.648,19.23,55133.44539,47839.56841,25335.65,
Carm&eacute;sia,3113800,carmesense,ATOS T&Aacute;CIO SOARES DE OLIVEIRA,259.103,2605,10.05,99.3,0.650,-,17798.45513,14016.7498,13128.47,
Carmo da Cachoeira,3113909,carmo-cachoeirense,HELCIO ANTONIO CHAGAS REIS,506.333,11547,22.81,94,0.655,14.81,30861.34325,26290.00925,20403.62,
Carmo da Mata,3114006,carmense,JOSE CARLOS LOBATO,357.178,11019,30.85,97.9,0.689,9.43,29336.52776,23615.15568,16506.52,
Carmo de Minas,3114105,carmoense,DARCI PALMA DE MELO,322.285,13797,42.81,98,0.682,-,35041.37401,31184.27312,14597.15,
Carmo do Cajuru,3114204,cajuruense,EDSON DE SOUZA VILELA,455.808,23479,51.51,98.5,0.710,3.53,56177.72148,50142.10527,22805.68,
Carmo do Parana&iacute;ba,3114303,carmense,CESAR CAETANO DE ALMEIDA FILHO,1307.862,29011,22.18,97.5,0.705,12.58,85848.7568,73050.5253,28270.26,
Carmo do Rio Claro,3114402,carmelitano,FILIPE CARDOSO CARIELO,1065.685,20954,19.66,96.4,0.733,15.54,49879.71862,40075.12953,27371.42,
Carm&oacute;polis de Minas,3114501,carmopolitano,JOS&Eacute; OMAR PAOLINELLI,400.010,17878,44.69,95.6,0.700,-,42628.2506,42281.9577,20867.71,
Carneirinho,3114550,carneirinhense,WILLIAN MARTINS MAIA,2063.462,9422,4.57,97.9,0.741,11.63,47540.26478,37412.81854,37159.61,
Carrancas,3114600,carranquense,HELY ANDRADE ALVES,727.894,4049,5.56,96.8,0.725,-,18240.30463,14302.98659,27711.13,
Carvalh&oacute;polis,3114709,carvalhopolitano,JOSE ANTONIO DE CARVALHO,81.101,3341,41.20,100,0.724,54.05,17799.74875,13682.78561,16356.64,
Carvalhos,3114808,carvalhense,VALMIR SIQUEIRA DA SILVA,282.254,4422,15.67,96.5,0.646,-,13814.93736,13096.65487,15680.51,
Casa Grande,3114907,casa-grandense,LUIZ OT&Aacute;VIO GON&Ccedil;ALVES,157.727,2214,14.04,96.3,0.652,-,13260.00366,11620.02967,24587.32,
Cascalho Rico,3115003,cascalho-riquense,JOS&Eacute; BORGES DE OLIVEIRA,367.308,2712,7.38,96.6,0.721,-,20320.73597,17435.08918,22005.97,
C&aacute;ssia,3115102,cassiense,R&Ecirc;MULO CARVALHO PINTO,665.802,17155,25.77,97,0.704,9.09,45338.29643,42128.57261,21804.94,
Concei&ccedil;&atilde;o da Barra de Minas,3115201,conceicionense,HEITOR SEBASTIAO GUEDES,273.014,3560,13.04,93.6,0.685,-,14089.71803,13027.21476,15068.92,
Cataguases,3115300,cataguasense,JOS&Eacute; IN&Aacute;CIO PEIXOTO PARREIRAS HENRIQUES,491.767,66261,134.74,98.1,0.751,17.91,137261.91287,126312.93323,20473.59,
Catas Altas,3115359,catas-altense,SAULO MORAIS DE CASTRO,240.042,5473,22.80,98.6,0.684,-,37863.65114,27661.43687,201806.62,
Catas Altas da Noruega,3115409,catas-altense,PAULO LADISLAU BATISTA,141.622,3110,21.96,98.4,0.600,-,22999.21007,11945.82335,10235.87,
